DATA;FX_ATRASO;ORIGEM;ACIONAMENTOS;VALORPRIN_FIN_ACIONAMENTOS;CPC;VALORPRIN_FIN_CPC;CPCA;VALORPRIN_FIN_CPCA;PROMESSA;VALORPRIN_FIN_PROMESSA;nr_dia_util;quartil;dt_mes;mes_abreviado
2025-09-12;121-150;Robô;2371,0;341254,79000000004;2216,0;318753,58999999997;431,0;57127,869999999995;149,0;18499,62;10;Q3;9;Set
2025-09-12;151-180;Robô;972,0;190705,69;904,0;172710,43;183,0;35993,03;58,0;5355,909999999998;10;Q3;9;Set
2025-09-12;181-360;Robô;6452,0;1645001,52;6049,0;1538476,01;1104,0;277392,93999999994;192,0;21666,55;10;Q3;9;Set
2025-09-12;361-720;Robô;19,0;8607,03;2,0;1142,2599999999998;0,0;0,0;0,0;0,0;10;Q3;9;Set
2025-09-12;Maior 720;Robô;5,0;1914,52;0,0;0,0;0,0;0,0;0,0;0,0;10;Q3;9;Set
2025-09-13;Preventivo;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10;Q3;9;Set
2025-09-13;0-30;Robô;3690,0;335526,82000000007;3511,0;316746,06999999995;770,0;64634,7;249,0;19270,089999999997;10;Q3;9;Set
2025-09-13;31-60;Robô;3749,0;446561,23000000004;3468,0;410041,42000000004;730,0;84533,59000000001;203,0;20643,07;10;Q3;9;Set
2025-09-13;61-90;Robô;8,0;1022,7900000000001;8,0;1022,7900000000001;1,0;372,34;1,0;372,34;10;Q3;9;Set
2025-09-13;91-120;Robô;1504,0;224228,58999999997;1432,0;212550,56000000003;223,0;32708,75;75,0;8645,970000000001;10;Q3;9;Set
2025-09-13;121-150;Robô;2420,0;349488,04000000004;2263,0;326506,23;434,0;57239,11;149,0;18499,62;10;Q3;9;Set
2025-09-13;151-180;Robô;988,0;192627,93;918,0;174261,99;185,0;36099,149999999994;58,0;5355,909999999998;10;Q3;9;Set
2025-09-13;181-360;Robô;6452,0;1645001,52;6049,0;1538476,01;1104,0;277392,93999999994;192,0;21666,55;10;Q3;9;Set
2025-09-13;361-720;Robô;20,0;9118,93;2,0;1142,2599999999998;0,0;0,0;0,0;0,0;10;Q3;9;Set
2025-09-13;Maior 720;Robô;5,0;1914,52;0,0;0,0;0,0;0,0;0,0;0,0;10;Q3;9;Set
2025-09-15;Preventivo;Robô;14,0;855,3699999999998;6,0;358,38;5,0;338,13;5,0;338,13;11;Q3;9;Set
2025-09-15;0-30;Robô;3695,0;335376,86;3516,0;316609,00000000006;768,0;64500,549999999996;249,0;19270,089999999997;11;Q3;9;Set
2025-09-15;31-60;Robô;4105,0;488184,37000000005;3803,0;449617,66000000003;804,0;94146,20000000001;225,0;22883,24;11;Q3;9;Set
2025-09-15;61-90;Robô;12,0;1506,96;12,0;1506,96;2,0;532,14;1,0;372,34;11;Q3;9;Set
2025-09-15;91-120;Robô;1810,0;259962,16;1718,0;246170,03;251,0;35357,67;83,0;9475,53;11;Q3;9;Set
2025-09-15;121-150;Robô;2567,0;372804,18999999994;2400,0;348255,57999999996;454,0;59677,079999999994;154,0;19031,4;11;Q3;9;Set
2025-09-15;151-180;Robô;1032,0;201985,72;956,0;181662,93;194,0;37832,55;62,0;5738,6399999999985;11;Q3;9;Set
2025-09-15;181-360;Robô;6452,0;1645001,52;6049,0;1538476,01;1104,0;277392,93999999994;192,0;21666,55;11;Q3;9;Set
2025-09-15;361-720;Robô;90,0;46349,05;2,0;1142,2599999999998;0,0;0,0;0,0;0,0;11;Q3;9;Set
2025-09-15;Maior 720;Robô;121,0;36610,61;7,0;2356,67;6,0;1879,6000000000001;6,0;1879,6000000000001;11;Q3;9;Set
2025-09-16;Preventivo;Robô;50,0;3160,5200000000004;16,0;891,47;14,0;855,28;14,0;855,28;12;Q3;9;Set
2025-09-16;0-30;Robô;3924,0;354308,91000000003;3726,0;333984,32;808,0;68436,67000000001;264,0;20592,82;12;Q3;9;Set
2025-09-16;31-60;Robô;4192,0;499739,3900000001;3884,0;460303,60000000003;819,0;96241,39000000001;232,0;23474,04;12;Q3;9;Set
2025-09-16;61-90;Robô;12,0;1506,96;12,0;1506,96;2,0;532,14;1,0;372,34;12;Q3;9;Set
2025-09-16;91-120;Robô;1862,0;268530,36;1768,0;254178,93;260,0;35999,03999999999;85,0;9565,23;12;Q3;9;Set
2025-09-16;121-150;Robô;2591,0;376267,1;2423,0;351340,95999999996;460,0;60152,16;155,0;19060,399999999998;12;Q3;9;Set
2025-09-16;151-180;Robô;1038,0;205286,24;960,0;183465,15000000002;196,0;38791,45;62,0;5738,6399999999985;12;Q3;9;Set
2025-09-16;181-360;Robô;6452,0;1645001,52;6049,0;1538476,01;1104,0;277392,93999999994;192,0;21666,55;12;Q3;9;Set
2025-09-16;361-720;Robô;259,0;125772,32999999999;11,0;5570,87;5,0;2020,48;5,0;2020,48;12;Q3;9;Set
2025-09-16;Maior 720;Robô;250,0;77239,75;19,0;5660,95;12,0;3223,87;12,0;3223,87;12;Q3;9;Set
2025-09-17;Preventivo;Robô;86,0;5362,73;37,0;2081,7100000000005;30,0;1853,2800000000004;30,0;1853,2800000000004;13;Q3;9;Set
2025-09-17;0-30;Robô;4202,0;373490,19999999995;3987,0;352073,27;860,0;72397,78;285,0;22015,489999999998;13;Q3;9;Set
2025-09-17;31-60;Robô;4274,0;510337,69;3960,0;470370,81000000006;842,0;99987,72000000002;235,0;23936,42;13;Q3;9;Set
2025-09-17;61-90;Robô;13,0;1586,86;13,0;1586,86;3,0;612,04;2,0;452,24;13;Q3;9;Set
2025-09-17;91-120;Robô;1903,0;273672,39999999997;1803,0;258466,25;269,0;37242,91;88,0;9778,119999999999;13;Q3;9;Set
2025-09-17;121-150;Robô;2619,0;379812,3;2449,0;354440,31;467,0;60935,91;159,0;19635,579999999998;13;Q3;9;Set
2025-09-17;151-180;Robô;1046,0;206822,6;968,0;185001,51;197,0;38821,34999999999;63,0;5768,539999999998;13;Q3;9;Set
2025-09-17;181-360;Robô;6453,0;1645720,7200000002;6050,0;1539195,21;1104,0;277392,93999999994;192,0;21666,55;13;Q3;9;Set
2025-09-17;361-720;Robô;453,0;226014,46000000002;20,0;8316,809999999998;10,0;3574,1000000000004;10,0;3574,1000000000004;13;Q3;9;Set
2025-09-17;Maior 720;Robô;254,0;80209,51000000001;19,0;5660,95;13,0;3283,67;13,0;3283,67;13;Q3;9;Set
2025-09-18;Preventivo;Robô;103,0;6920,899999999999;44,0;2770,9900000000007;35,0;2209,63;35,0;2209,63;14;Q3;9;Set
2025-09-18;0-30;Robô;4244,0;376967,13;4029,0;355530,44;863,0;72584,20999999999;285,0;22015,489999999998;14;Q3;9;Set
2025-09-18;31-60;Robô;4352,0;525127,02;4030,0;483812,3400000001;849,0;100908,36000000002;237,0;23996,22;14;Q3;9;Set
2025-09-18;61-90;Robô;14,0;1613,6599999999999;13,0;1586,86;3,0;612,04;2,0;452,24;14;Q3;9;Set
2025-09-18;91-120;Robô;1925,0;277139,2;1826,0;262092,85;270,0;37348,87;88,0;9778,119999999999;14;Q3;9;Set
2025-09-18;121-150;Robô;2634,0;381932,76;2463,0;356626,35000000003;470,0;61714,03;160,0;20035,78;14;Q3;9;Set
2025-09-18;151-180;Robô;1054,0;209972,36;976,0;188710,67;198,0;38881,149999999994;63,0;5768,539999999998;14;Q3;9;Set
2025-09-18;181-360;Robô;6453,0;1645720,7200000002;6050,0;1539195,21;1104,0;277392,93999999994;192,0;21666,55;14;Q3;9;Set
2025-09-18;361-720;Robô;454,0;226506,15000000002;20,0;8316,809999999998;10,0;3574,1000000000004;10,0;3574,1000000000004;14;Q3;9;Set
2025-09-18;Maior 720;Robô;254,0;80209,51000000001;19,0;5660,95;13,0;3283,67;13,0;3283,67;14;Q3;9;Set
2025-09-19;Preventivo;Robô;103,0;6920,899999999999;44,0;2770,9900000000007;35,0;2209,63;35,0;2209,63;15;Q3;9;Set
2025-09-19;0-30;Robô;4244,0;376967,13;4029,0;355530,44;863,0;72584,20999999999;285,0;22015,489999999998;15;Q3;9;Set
2025-09-19;31-60;Robô;4352,0;525127,02;4030,0;483812,3400000001;849,0;100908,36000000002;237,0;23996,22;15;Q3;9;Set
2025-09-19;61-90;Robô;14,0;1613,6599999999999;13,0;1586,86;3,0;612,04;2,0;452,24;15;Q3;9;Set
2025-09-19;91-120;Robô;1925,0;277139,2;1826,0;262092,85;270,0;37348,87;88,0;9778,119999999999;15;Q3;9;Set
